[03/17/20 10:21:50.566][I][4866][4866][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2020-01-07 14:27:09
[03/17/20 10:21:50.591][I][4866][4866][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[03/17/20 10:21:50.591][I][4866][4866][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
[03/17/20 10:21:50.591][I][4866][4866][KMapMatchConfigAgent.cpp][ReadConfigParam] Angle Threshold:181.000000
[03/17/20 10:21:50.591][I][4866][4866][KMapMatchConfigAgent.cpp][ReadConfigParam] Log:0
[03/17/20 10:21:50.591][I][4866][4866][KMapMatchConfigAgent.cpp][ReadConfigParam] Use Altitude:1
[03/17/20 10:21:50.591][I][4866][4866][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[03/17/20 10:21:50.591][I][4866][4866][KMapMatchConfigAgent.cpp][ReadConfigParam] MapMatchProbabilityRange:0.300000
[03/17/20 10:21:51.523][W][4866][4889][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/17/20 10:21:51.545][W][4866][4889][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/17/20 10:21:51.557][W][4866][4889][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/17/20 10:21:51.568][W][4866][4889][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/17/20 10:21:51.571][E][4866][4866][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498680376.

[03/17/20 10:21:51.578][W][4866][4889][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/17/20 10:21:51.590][W][4866][4889][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/17/20 10:21:51.591][E][4866][4866][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498680457.

