[01/17/20 10:18:07.503][I][3751][3751][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2020-01-07 14:27:09
[01/17/20 10:18:07.524][I][3751][3751][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[01/17/20 10:18:07.524][I][3751][3751][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
[01/17/20 10:18:07.524][I][3751][3751][KMapMatchConfigAgent.cpp][ReadConfigParam] Angle Threshold:181.000000
[01/17/20 10:18:07.524][I][3751][3751][KMapMatchConfigAgent.cpp][ReadConfigParam] Log:0
[01/17/20 10:18:07.524][I][3751][3751][KMapMatchConfigAgent.cpp][ReadConfigParam] Use Altitude:1
[01/17/20 10:18:07.524][I][3751][3751][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[01/17/20 10:18:07.524][I][3751][3751][KMapMatchConfigAgent.cpp][ReadConfigParam] MapMatchProbabilityRange:0.300000
[01/17/20 10:18:16.613][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.632][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.642][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.653][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.663][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.674][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.684][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.695][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.705][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.716][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.727][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.737][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.748][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.759][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.770][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.781][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.792][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.802][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.813][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.824][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.835][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.846][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.857][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.868][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.879][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.890][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.901][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.912][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.923][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.934][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.945][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.957][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[01/17/20 10:18:16.968][W][3751][3773][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
