[04/03/20 09:47:33.830][I][15418][15418][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[04/03/20 09:47:33.830][I][15418][15418][KMapMatchConfigAgent.cpp][ReadConfigParam] MapMatchProbabilityRange:0.300000
[04/03/20 09:47:34.567][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682573, Latitude:115291722, Altitude:1340, CarAngle:154.100006
[04/03/20 09:47:34.582][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:34.593][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:34.604][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:34.614][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:34.624][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:34.635][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:34.646][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:34.656][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:34.666][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:34.691][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682493, Latitude:115291753, Altitude:1340, CarAngle:154.500000
[04/03/20 09:47:35.297][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682367, Latitude:115291803, Altitude:1338, CarAngle:155.300003
[04/03/20 09:47:35.310][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682245, Latitude:115291851, Altitude:1337, CarAngle:156.000000
[04/03/20 09:47:35.320][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682245, Latitude:115291851, Altitude:1337, CarAngle:156.000000
[04/03/20 09:47:35.331][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682245, Latitude:115291851, Altitude:1337, CarAngle:156.000000
[04/03/20 09:47:35.341][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682245, Latitude:115291851, Altitude:1337, CarAngle:156.000000
[04/03/20 09:47:35.352][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682245, Latitude:115291851, Altitude:1337, CarAngle:156.000000
[04/03/20 09:47:35.362][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682223, Latitude:115291859, Altitude:1337, CarAngle:156.100006
[04/03/20 09:47:35.374][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682223, Latitude:115291859, Altitude:1337, CarAngle:156.100006
[04/03/20 09:47:35.396][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682208, Latitude:115291865, Altitude:1337, CarAngle:156.199997
[04/03/20 09:47:35.406][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682208, Latitude:115291865, Altitude:1337, CarAngle:156.199997
[04/03/20 09:47:35.416][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682200, Latitude:115291868, Altitude:1337, CarAngle:156.199997
[04/03/20 09:47:35.427][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682200, Latitude:115291868, Altitude:1337, CarAngle:156.199997
[04/03/20 09:47:35.437][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682193, Latitude:115291871, Altitude:1337, CarAngle:156.300003
[04/03/20 09:47:35.449][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682193, Latitude:115291871, Altitude:1337, CarAngle:156.300003
[04/03/20 09:47:35.459][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682188, Latitude:115291873, Altitude:1337, CarAngle:156.300003
[04/03/20 09:47:35.522][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682163, Latitude:115291882, Altitude:1337, CarAngle:156.400009
[04/03/20 09:47:35.533][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682155, Latitude:115291885, Altitude:1337, CarAngle:156.500000
[04/03/20 09:47:35.544][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682155, Latitude:115291885, Altitude:1337, CarAngle:156.500000
[04/03/20 09:47:35.555][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682148, Latitude:115291887, Altitude:1337, CarAngle:156.500000
