[03/09/20 12:38:45.635][I][5982][5982][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2020-01-07 14:27:09
[03/09/20 12:38:45.667][I][5982][5982][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[03/09/20 12:38:45.667][I][5982][5982][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
[03/09/20 12:38:45.667][I][5982][5982][KMapMatchConfigAgent.cpp][ReadConfigParam] Angle Threshold:181.000000
[03/09/20 12:38:45.667][I][5982][5982][KMapMatchConfigAgent.cpp][ReadConfigParam] Log:0
[03/09/20 12:38:45.667][I][5982][5982][KMapMatchConfigAgent.cpp][ReadConfigParam] Use Altitude:1
[03/09/20 12:38:45.667][I][5982][5982][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[03/09/20 12:38:45.667][I][5982][5982][KMapMatchConfigAgent.cpp][ReadConfigParam] MapMatchProbabilityRange:0.300000
[03/09/20 12:38:46.474][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.496][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.507][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.509][E][5982][5982][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498680376.

[03/09/20 12:38:46.518][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.520][E][5982][5982][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498680457.

[03/09/20 12:38:46.528][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.539][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.550][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.561][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.571][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.582][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.593][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.654][E][5982][5982][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498681194.

[03/09/20 12:38:46.738][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.750][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.761][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.771][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/09/20 12:38:46.782][W][5982][6004][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
