[03/20/20 09:01:37.399][I][3535][3535][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2020-01-07 14:27:09
[03/20/20 09:01:37.425][I][3535][3535][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[03/20/20 09:01:37.425][I][3535][3535][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
[03/20/20 09:01:37.425][I][3535][3535][KMapMatchConfigAgent.cpp][ReadConfigParam] Angle Threshold:181.000000
[03/20/20 09:01:37.425][I][3535][3535][KMapMatchConfigAgent.cpp][ReadConfigParam] Log:0
[03/20/20 09:01:37.425][I][3535][3535][KMapMatchConfigAgent.cpp][ReadConfigParam] Use Altitude:1
[03/20/20 09:01:37.425][I][3535][3535][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[03/20/20 09:01:37.425][I][3535][3535][KMapMatchConfigAgent.cpp][ReadConfigParam] MapMatchProbabilityRange:0.300000
[03/20/20 09:01:37.938][E][3535][3535][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498680376.

[03/20/20 09:01:37.956][E][3535][3535][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498680457.

[03/20/20 09:01:38.204][E][3535][3535][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498681194.

[03/20/20 09:17:42.161][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456299,Lat:113792513
[03/20/20 09:17:42.235][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456306,Lat:113792512
[03/20/20 09:17:42.247][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456306,Lat:113792512
[03/20/20 09:17:42.257][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456306,Lat:113792512
[03/20/20 09:17:42.267][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456306,Lat:113792512
[03/20/20 09:17:42.278][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456306,Lat:113792512
[03/20/20 09:17:42.288][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456307,Lat:113792512
[03/20/20 09:17:42.301][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456307,Lat:113792512
[03/20/20 09:17:42.311][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456307,Lat:113792512
[03/20/20 09:17:42.322][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456307,Lat:113792512
[03/20/20 09:17:42.332][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456307,Lat:113792512
[03/20/20 09:17:42.342][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456307,Lat:113792512
[03/20/20 09:17:42.353][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456307,Lat:113792512
[03/20/20 09:17:42.363][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456308,Lat:113792512
[03/20/20 09:17:42.375][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456308,Lat:113792512
[03/20/20 09:17:42.385][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456308,Lat:113792512
[03/20/20 09:17:42.396][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456308,Lat:113792512
[03/20/20 09:17:42.406][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456309,Lat:113792512
[03/20/20 09:17:42.418][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456309,Lat:113792512
[03/20/20 09:17:42.428][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456309,Lat:113792512
[03/20/20 09:17:42.439][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456309,Lat:113792512
[03/20/20 09:17:42.449][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456309,Lat:113792512
[03/20/20 09:17:42.460][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456309,Lat:113792512
[03/20/20 09:17:42.470][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456309,Lat:113792512
[03/20/20 09:17:42.480][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456310,Lat:113792512
[03/20/20 09:17:42.492][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456310,Lat:113792512
[03/20/20 09:17:42.502][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456310,Lat:113792512
[03/20/20 09:17:42.513][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456310,Lat:113792512
[03/20/20 09:17:42.523][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456310,Lat:113792512
[03/20/20 09:17:42.534][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456310,Lat:113792512
[03/20/20 09:17:42.544][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456311,Lat:113792512
[03/20/20 09:17:42.556][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456311,Lat:113792512
[03/20/20 09:17:42.566][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456311,Lat:113792512
[03/20/20 09:17:42.577][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456311,Lat:113792512
[03/20/20 09:17:42.588][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456311,Lat:113792512
[03/20/20 09:17:42.599][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456312,Lat:113792512
[03/20/20 09:17:42.610][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456312,Lat:113792512
[03/20/20 09:17:42.620][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456312,Lat:113792512
[03/20/20 09:17:42.631][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456312,Lat:113792511
[03/20/20 09:17:42.642][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456313,Lat:113792511
[03/20/20 09:17:42.653][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456313,Lat:113792511
[03/20/20 09:17:42.664][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456313,Lat:113792511
[03/20/20 09:17:42.674][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456313,Lat:113792511
[03/20/20 09:17:42.684][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456313,Lat:113792511
[03/20/20 09:17:42.695][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456313,Lat:113792511
[03/20/20 09:17:42.705][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456313,Lat:113792511
[03/20/20 09:17:42.716][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456313,Lat:113792511
[03/20/20 09:17:42.726][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456314,Lat:113792511
[03/20/20 09:17:42.737][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456314,Lat:113792511
[03/20/20 09:17:42.747][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456314,Lat:113792511
[03/20/20 09:17:42.758][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456314,Lat:113792511
[03/20/20 09:17:42.768][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456314,Lat:113792511
[03/20/20 09:17:42.779][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456314,Lat:113792511
[03/20/20 09:17:42.789][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456315,Lat:113792511
[03/20/20 09:17:42.800][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456315,Lat:113792511
[03/20/20 09:17:42.811][W][3535][3557][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:449456315,Lat:113792511
