50
0.000000	0.000000
0.005716	0.999978
0.021373	1.999853
0.043962	2.999596
0.070709	3.999238
0.099332	4.998828
0.127999	5.998417
0.155280	6.998045
0.180096	7.997737
0.201675	8.997503
0.219499	9.997344
0.233268	10.997248
0.242851	11.997202
0.248259	12.997186
0.249605	13.997185
0.247081	14.997181
0.240934	15.997162
0.231443	16.997116
0.218906	17.997037
0.203625	18.996920
0.185898	19.996763
0.166008	20.996565
0.144220	21.996327
0.120779	22.996052
0.095904	23.995743
0.069790	24.995402
0.042607	25.995032
0.014502	26.994637
-0.014401	27.994219
-0.043998	28.993781
-0.074204	29.993325
-0.104951	30.992852
-0.136182	31.992364
-0.167857	32.991863
-0.199942	33.991348
-0.232414	34.990820
-0.265256	35.990281
-0.298455	36.989730
-0.332005	37.989167
-0.365898	38.988592
-0.400134	39.988006
-0.434708	40.987408
-0.469622	41.986798
-0.504879	42.986177
-0.540475	43.985543
-0.576409	44.984897
-0.612681	45.984239
-0.649291	46.983569
-0.686238	47.982886
-0.723524	48.982190
